t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
64,1472,1472,1379,1524,1163,1183
40064,1473,1473,1386,1524,1169,1183
80060,1474,1474,1393,1524,1175,1183
120056,1476,1475,1400,1524,1181,1183
163540,1477,1475,1407,1524,1187,1183
200056,1478,1476,1414,1524,1193,1183
240056,1479,1477,1420,1524,1199,1183
280052,1480,1477,1427,1524,1205,1183
320060,1481,1478,1433,1524,1211,1183
360056,1483,1478,1440,1524,1217,1183
400060,1484,1478,1446,1524,1223,1183
440056,1485,1478,1452,1524,1229,1183
480060,1486,1478,1459,1524,1236,1183
520060,1487,1478,1465,1524,1242,1183
560056,1489,1478,1471,1524,1248,1183
600056,1490,1478,1477,1524,1254,1183
641804,1491,1478,1483,1524,1260,1183
680060,1492,1478,1488,1524,1266,1183
720060,1493,1477,1494,1524,1272,1183
760060,1495,1477,1500,1524,1279,1183
802032,1496,1476,1505,1524,1285,1183
840064,1497,1475,1511,1524,1291,1183
880060,1498,1475,1516,1524,1297,1183
920056,1499,1474,1522,1524,1303,1183
960052,1501,1473,1527,1524,1310,1183
1000052,1502,1472,1532,1524,1316,1183
1040060,1503,1471,1538,1524,1322,1183
1080060,1504,1470,1543,1524,1329,1183
1120056,1505,1468,1548,1524,1335,1183
1160056,1507,1467,1553,1524,1341,1183
1200056,1508,1465,1558,1524,1348,1183
1240056,1509,1464,1562,1524,1354,1183
1280060,1510,1462,1567,1524,1360,1183
1320064,1512,1461,1572,1524,1367,1183
1360064,1513,1459,1576,1524,1373,1183
1400064,1514,1457,1581,1524,1380,1183
1440052,1515,1455,1585,1524,1386,1183
1480052,1516,1453,1590,1524,1393,1183
1520052,1518,1450,1594,1524,1399,1183
1560056,1519,1448,1598,1524,1406,1183
1600504,1520,1446,1602,1524,1412,1183
1640064,1521,1443,1606,1524,1419,1183
1680068,1523,1441,1610,1524,1425,1183
1720056,1524,1438,1614,1524,1432,1183
1760056,1525,1435,1618,1524,1438,1183
1800056,1526,1432,1622,1524,1445,1183
1840056,1528,1429,1626,1524,1452,1183
1880056,1529,1426,1629,1524,1458,1183
1920056,1530,1423,1633,1524,1465,1183
1960056,1531,1420,1636,1524,1472,1183
2000060,1533,1416,1639,1524,1479,1183
2040060,1534,1413,1643,1524,1485,1183
2080052,1535,1409,1646,1524,1492,1183
2120052,1536,1406,1649,1524,1499,1183
2160052,1538,1402,1652,1524,1506,1183
2200056,1539,1398,1655,1524,1512,1183
2240160,1540,1394,1658,1524,1519,1183
2280052,1541,1390,1661,1524,1526,1183
2320060,1543,1386,1663,1524,1533,1183
2360064,1544,1382,1666,1524,1540,1183
2400056,1545,1377,1668,1524,1547,1183
2440056,1546,1373,1671,1524,1554,1183
2480060,1548,1368,1673,1524,1561,1183
2520060,1549,1364,1675,1524,1567,1183
2560064,1550,1359,1678,1524,1574,1183
2600064,1552,1354,1680,1524,1581,1183
2640064,1553,1349,1682,1524,1588,1183
2680052,1554,1344,1684,1524,1595,1183
2720060,1555,1339,1685,1524,1602,1183
2760060,1557,1334,1687,1524,1609,1183
2800060,1558,1328,1689,1524,1616,1183
2840064,1559,1323,1690,1524,1623,1183
2880056,1560,1317,1692,1524,1630,1183
2920056,1562,1312,1693,1524,1637,1183
2960064,1563,1306,1694,1524,1644,1183
3000064,1564,1300,1696,1524,1651,1183
3040052,1566,1294,1697,1524,1658,1183
3080052,1567,1289,1698,1524,1664,1183
3120056,1568,1283,1698,1524,1671,1183
3160056,1569,1276,1699,1524,1678,1183
3202536,1571,1270,1700,1524,1685,1183
3240064,1572,1264,1701,1524,1692,1183
3278596,1574,1261,1703,1524,1697,1183
3318596,1576,1264,1708,1524,1700,1183
3358588,1578,1267,1714,1524,1702,1183
3398588,1580,1271,1720,1524,1705,1183
3438592,1583,1275,1727,1524,1707,1183
3478596,1585,1280,1733,1524,1708,1183
3518720,1587,1284,1739,1524,1710,1183
3558596,1590,1289,1745,1524,1712,1183
3598584,1592,1293,1751,1524,1714,1183
3638588,1595,1297,1758,1524,1716,1183
3679136,1597,1302,1764,1524,1718,1183
3718592,1600,1306,1770,1524,1719,1183
3758592,1602,1310,1776,1524,1721,1183
3798596,1605,1315,1782,1524,1723,1183
3839984,1607,1319,1788,1524,1724,1183
3878592,1610,1323,1794,1524,1726,1183
3918596,1613,1328,1800,1524,1727,1183
3958584,1615,1332,1805,1524,1729,1183
3998588,1618,1336,1811,1524,1730,1183
4038592,1621,1341,1817,1524,1732,1183
4078592,1623,1345,1823,1524,1733,1183
4118584,1626,1350,1829,1524,1734,1183
4159768,1629,1354,1834,1524,1736,1183
4198592,1632,1358,1840,1524,1737,1183
4238592,1635,1363,1845,1524,1738,1183
4278596,1638,1367,1851,1524,1739,1183
4318596,1640,1372,1857,1524,1741,1183
4358584,1643,1376,1862,1524,1742,1183
4398588,1646,1380,1868,1524,1743,1183
4438592,1649,1385,1873,1524,1744,1183
4481048,1652,1389,1878,1524,1745,1183
4518600,1655,1394,1884,1524,1746,1183
4558592,1659,1398,1889,1524,1746,1183
4598592,1662,1403,1894,1524,1747,1183
4638592,1665,1407,1900,1524,1748,1183
4678596,1668,1412,1905,1524,1749,1183
4718588,1671,1416,1910,1524,1749,1183
4758588,1674,1421,1915,1524,1750,1183
4798592,1678,1425,1920,1524,1751,1183
4838596,1681,1430,1925,1524,1751,1183
4878588,1684,1434,1930,1524,1752,1183
4918588,1688,1439,1936,1524,1752,1183
4958596,1691,1444,1940,1524,1752,1183
4998588,1694,1448,1945,1524,1753,1183
5038588,1698,1453,1950,1524,1753,1183
5078592,1701,1458,1955,1524,1753,1183
5118708,1705,1462,1960,1524,1753,1183
5158600,1708,1467,1965,1524,1753,1183
5198592,1712,1472,1970,1524,1753,1183
5238596,1715,1476,1974,1524,1753,1183
5278588,1718,1476,1978,1524,1757,1183
5934148,1720,1468,1980,1524,1767,1183
5974152,1720,1457,1980,1524,1778,1183
6014156,1720,1444,1979,1524,1791,1183
6054148,1720,1431,1979,1524,1803,1183
6094152,1721,1418,1978,1524,1815,1183
6134156,1721,1405,1977,1524,1827,1183
6174148,1721,1391,1975,1524,1839,1183
6214580,1721,1378,1974,1524,1852,1183
6254152,1721,1364,1972,1524,1863,1183
6294152,1721,1351,1971,1524,1875,1183
6334164,1721,1337,1969,1524,1887,1183
6376816,1721,1323,1967,1524,1899,1183
6414156,1721,1310,1964,1524,1910,1183
6454156,1721,1296,1962,1524,1922,1183
6494160,1721,1282,1960,1524,1933,1183
6534152,1721,1269,1957,1524,1944,1183
6574156,1721,1255,1954,1524,1955,1183
6614160,1721,1241,1951,1524,1966,1183
6654148,1721,1228,1948,1524,1976,1183
6694152,1721,1214,1945,1524,1987,1183
6734152,1721,1201,1942,1524,1997,1183
6774156,1721,1187,1939,1524,2007,1183
6814156,1721,1174,1935,1524,2016,1183
6854156,1721,1161,1931,1524,2026,1183
6894160,1720,1152,1927,1524,2031,1183
6974160,1718,1148,1921,1524,2029,1183
7054152,1717,1146,1915,1524,2025,1183
7134152,1715,1144,1909,1524,2020,1183
7214160,1713,1143,1902,1524,2015,1183
7294152,1712,1141,1896,1524,2010,1183
7374160,1710,1139,1889,1524,2005,1183
7454148,1708,1138,1883,1524,2000,1183
7534156,1706,1136,1876,1524,1995,1183
7614156,1705,1134,1869,1524,1991,1183
7694152,1703,1132,1863,1524,1986,1183
7774160,1702,1131,1856,1524,1981,1183
7854152,1700,1129,1849,1524,1976,1183
7934148,1698,1127,1843,1524,1971,1183
8014160,1697,1124,1836,1524,1967,1183
8094152,1695,1122,1829,1524,1962,1183
8174156,1694,1120,1822,1524,1957,1183
8254160,1692,1118,1815,1524,1953,1183
8334152,1691,1115,1808,1524,1948,1183
8414156,1689,1113,1801,1524,1944,1183
8494152,1688,1111,1794,1524,1939,1183
8574156,1687,1108,1787,1524,1934,1183
8654152,1685,1106,1780,1524,1930,1183
8734152,1684,1103,1773,1524,1925,1183
8814160,1682,1101,1766,1524,1921,1183
8894160,1681,1098,1759,1524,1916,1183
8974156,1680,1095,1751,1524,1912,1183
9054160,1678,1092,1744,1524,1907,1183
9134152,1677,1090,1737,1524,1903,1183
