t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
64,1472,1472,1379,1524,1163,1183
40060,1473,1473,1386,1524,1169,1183
80052,1474,1474,1393,1524,1175,1183
120060,1475,1475,1400,1524,1181,1183
162036,1476,1475,1407,1524,1187,1183
200064,1477,1476,1414,1524,1193,1183
240064,1478,1477,1421,1524,1200,1183
280060,1479,1477,1427,1524,1206,1183
320052,1480,1478,1434,1524,1212,1183
360060,1482,1478,1441,1524,1218,1183
400060,1483,1478,1447,1524,1224,1183
440056,1484,1478,1453,1524,1230,1183
480824,1485,1479,1460,1524,1237,1183
520060,1486,1479,1466,1524,1243,1183
560060,1487,1478,1472,1524,1249,1183
600060,1488,1478,1478,1524,1255,1183
640060,1489,1478,1484,1524,1261,1183
680064,1490,1478,1490,1524,1268,1183
720064,1491,1477,1496,1524,1274,1183
760060,1492,1477,1501,1524,1280,1183
800052,1493,1476,1507,1524,1286,1183
840064,1494,1476,1513,1524,1293,1183
880060,1496,1475,1518,1524,1299,1183
920060,1497,1474,1524,1524,1305,1183
960056,1498,1473,1529,1524,1312,1183
1000052,1499,1472,1534,1524,1318,1183
1040052,1500,1471,1540,1524,1324,1183
1080052,1501,1470,1545,1524,1331,1183
1120060,1502,1468,1550,1524,1337,1183
1160060,1503,1467,1555,1524,1344,1183
1200064,1504,1465,1560,1524,1350,1183
1240052,1505,1464,1565,1524,1356,1183
1280388,1507,1462,1570,1524,1363,1183
1320064,1508,1460,1574,1524,1369,1183
1360064,1509,1459,1579,1524,1376,1183
1400064,1510,1457,1584,1524,1382,1183
1442908,1511,1455,1588,1524,1389,1183
1480052,1512,1452,1593,1524,1396,1183
1520056,1513,1450,1597,1524,1402,1183
1560056,1514,1448,1601,1524,1409,1183
1600500,1515,1445,1605,1524,1415,1183
1640060,1517,1443,1610,1524,1422,1183
1680060,1518,1440,1614,1524,1429,1183
1720060,1519,1438,1618,1524,1435,1183
1760056,1520,1435,1621,1524,1442,1183
1800056,1521,1432,1625,1524,1449,1183
1840056,1522,1429,1629,1524,1456,1183
1880060,1523,1426,1633,1524,1462,1183
1920052,1524,1422,1636,1524,1469,1183
1960060,1525,1419,1640,1524,1476,1183
2000060,1527,1416,1643,1524,1483,1183
2040060,1528,1412,1646,1524,1490,1183
2080064,1529,1408,1650,1524,1497,1183
2120064,1530,1405,1653,1524,1504,1183
2160064,1531,1401,1656,1524,1510,1183
2200052,1532,1397,1659,1524,1517,1183
2240052,1533,1393,1662,1524,1524,1183
2280056,1535,1389,1665,1524,1531,1183
2320056,1536,1385,1667,1524,1538,1183
2360056,1537,1380,1670,1524,1545,1183
2400056,1538,1376,1673,1524,1552,1183
2440060,1539,1371,1675,1524,1559,1183
2480060,1540,1367,1677,1524,1566,1183
2520064,1541,1362,1680,1524,1573,1183
2561692,1543,1357,1682,1524,1580,1183
2600068,1544,1352,1684,1524,1587,1183
2640060,1545,1347,1686,1524,1595,1183
2680060,1546,1342,1688,1524,1602,1183
2720052,1547,1337,1690,1524,1609,1183
2760052,1548,1331,1692,1524,1616,1183
2800056,1549,1326,1693,1524,1623,1183
2840056,1551,1320,1695,1524,1630,1183
2880476,1552,1315,1696,1524,1637,1183
2920060,1553,1309,1698,1524,1644,1183
2960064,1554,1303,1699,1524,1651,1183
3000064,1555,1297,1700,1524,1658,1183
3040060,1556,1292,1701,1524,1665,1183
3080060,1558,1285,1702,1524,1672,1183
3120060,1559,1279,1703,1524,1679,1183
3160052,1560,1273,1704,1524,1686,1183
3202612,1561,1267,1705,1524,1693,1183
3237824,1562,1260,1705,1524,1700,1183
3677824,1562,1253,1705,1524,1707,1183
3717828,1562,1246,1705,1524,1714,1183
3757824,1562,1239,1704,1524,1721,1183
3797824,1562,1231,1704,1524,1728,1183
3837828,1562,1224,1703,1524,1735,1183
3877824,1562,1216,1703,1524,1742,1183
3921172,1562,1208,1702,1524,1749,1183
3957832,1562,1200,1701,1524,1756,1183
3997828,1562,1193,1700,1524,1763,1183
4037832,1562,1185,1699,1524,1770,1183
4077824,1562,1177,1698,1524,1776,1183
4117828,1562,1169,1696,1524,1783,1183
4157828,1562,1161,1695,1524,1789,1183
4197820,1562,1153,1694,1524,1796,1183
4237828,1562,1145,1692,1524,1802,1183
4277828,1562,1137,1690,1524,1809,1183
4317832,1562,1129,1688,1524,1815,1183
4357820,1562,1121,1687,1524,1821,1183
4397828,1562,1112,1685,1524,1828,1183
4437832,1562,1104,1683,1524,1834,1183
4477820,1562,1096,1680,1524,1840,1183
4517824,1562,1088,1678,1524,1846,1183
4559908,1562,1080,1676,1524,1852,1183
4597828,1562,1071,1673,1524,1857,1183
4637828,1562,1065,1669,1524,1860,1183
