t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
64,1472,1472,1379,1524,1163,1183
40052,1473,1473,1386,1524,1169,1183
80060,1474,1474,1393,1524,1175,1183
120056,1475,1475,1400,1524,1181,1183
160056,1476,1475,1407,1524,1187,1183
200056,1477,1476,1414,1524,1193,1183
240056,1478,1477,1421,1524,1200,1183
280052,1479,1477,1427,1524,1206,1183
321204,1480,1478,1434,1524,1212,1183
360052,1482,1478,1441,1524,1218,1183
400064,1483,1478,1447,1524,1224,1183
440060,1484,1478,1453,1524,1230,1183
480060,1485,1479,1460,1524,1237,1183
520056,1486,1479,1466,1524,1243,1183
560056,1487,1478,1472,1524,1249,1183
600052,1488,1478,1478,1524,1255,1183
640060,1489,1478,1484,1524,1261,1183
680056,1490,1478,1490,1524,1268,1183
720056,1491,1477,1496,1524,1274,1183
760056,1492,1477,1501,1524,1280,1183
800056,1493,1476,1507,1524,1286,1183
840052,1494,1476,1513,1524,1293,1183
880064,1496,1475,1518,1524,1299,1183
920064,1497,1474,1524,1524,1305,1183
960060,1498,1473,1529,1524,1312,1183
1000060,1499,1472,1534,1524,1318,1183
1040060,1500,1471,1540,1524,1324,1183
1080060,1501,1470,1545,1524,1331,1183
1120052,1502,1468,1550,1524,1337,1183
1160056,1503,1467,1555,1524,1344,1183
1200056,1504,1465,1560,1524,1350,1183
1240056,1505,1464,1565,1524,1356,1183
1280056,1507,1462,1570,1524,1363,1183
1320052,1508,1460,1574,1524,1369,1183
1360056,1509,1459,1579,1524,1376,1183
1400056,1510,1457,1584,1524,1382,1183
1440060,1511,1455,1588,1524,1389,1183
1480060,1512,1452,1593,1524,1396,1183
1520060,1513,1450,1597,1524,1402,1183
1560060,1514,1448,1601,1524,1409,1183
1600060,1515,1445,1605,1524,1415,1183
1640056,1517,1443,1610,1524,1422,1183
1680056,1518,1440,1614,1524,1429,1183
1720056,1519,1438,1618,1524,1435,1183
1760064,1520,1435,1621,1524,1442,1183
1800064,1521,1432,1625,1524,1449,1183
1840052,1522,1429,1629,1524,1456,1183
1880052,1523,1426,1633,1524,1462,1183
1920060,1524,1422,1636,1524,1469,1183
1960060,1525,1419,1640,1524,1476,1183
2000064,1527,1416,1643,1524,1483,1183
2040064,1528,1412,1646,1524,1490,1183
2080060,1529,1408,1650,1524,1497,1183
2120060,1530,1405,1653,1524,1504,1183
2160060,1531,1401,1656,1524,1510,1183
2200060,1532,1397,1659,1524,1517,1183
2240808,1533,1393,1662,1524,1524,1183
2280056,1535,1389,1665,1524,1531,1183
2320060,1536,1385,1667,1524,1538,1183
2360060,1537,1380,1670,1524,1545,1183
2400052,1538,1376,1673,1524,1552,1183
2440052,1539,1371,1675,1524,1559,1183
2480056,1540,1367,1677,1524,1566,1183
2520056,1541,1362,1680,1524,1573,1183
2560056,1543,1357,1682,1524,1580,1183
2600056,1544,1352,1684,1524,1587,1183
2640056,1545,1347,1686,1524,1595,1183
2680060,1546,1342,1688,1524,1602,1183
2720060,1547,1337,1690,1524,1609,1183
2760060,1548,1331,1692,1524,1616,1183
2800064,1549,1326,1693,1524,1623,1183
2840064,1551,1320,1695,1524,1630,1183
2880064,1552,1315,1696,1524,1637,1183
2920052,1553,1309,1698,1524,1644,1183
2960052,1554,1303,1699,1524,1651,1183
3000056,1555,1297,1700,1524,1658,1183
3040056,1556,1292,1701,1524,1665,1183
3080060,1558,1285,1702,1524,1672,1183
3120060,1559,1279,1703,1524,1679,1183
3160064,1560,1273,1704,1524,1686,1183
3200056,1561,1267,1705,1524,1693,1183
3237824,1562,1265,1708,1524,1699,1183
3277824,1563,1268,1714,1524,1702,1183
3317828,1563,1273,1722,1524,1705,1183
3357820,1564,1278,1730,1524,1708,1183
3397824,1564,1283,1738,1524,1710,1183
3437828,1565,1289,1746,1524,1713,1183
3477828,1566,1295,1754,1524,1715,1183
3517824,1566,1301,1762,1524,1717,1183
3557828,1567,1306,1770,1524,1720,1183
3597832,1567,1312,1778,1524,1722,1183
3637828,1568,1318,1787,1524,1724,1183
3677828,1569,1324,1795,1524,1726,1183
3717820,1569,1330,1802,1524,1728,1183
3757820,1570,1336,1810,1524,1730,1183
3797824,1571,1342,1818,1524,1732,1183
3839088,1571,1348,1826,1524,1734,1183
3877820,1572,1354,1834,1524,1736,1183
3917824,1573,1360,1842,1524,1737,1183
3957828,1573,1366,1850,1524,1739,1183
3997828,1574,1373,1858,1524,1741,1183
4037820,1575,1379,1866,1524,1742,1183
4077824,1575,1385,1873,1524,1744,1183
4117828,1576,1392,1881,1524,1745,1183
4157832,1577,1398,1889,1524,1746,1183
4197820,1578,1405,1897,1524,1748,1183
4237824,1578,1411,1905,1524,1749,1183
4277832,1579,1418,1912,1524,1750,1183
4320108,1580,1425,1920,1524,1751,1183
4357828,1581,1432,1928,1524,1751,1183
4397832,1581,1439,1936,1524,1752,1183
4437824,1582,1446,1943,1524,1753,1183
4477832,1583,1454,1951,1524,1753,1183
4517820,1584,1461,1959,1524,1753,1183
4557824,1585,1469,1967,1524,1753,1183
4597828,1586,1477,1974,1524,1753,1183
4639548,1586,1484,1982,1524,1753,1183
4677820,1587,1492,1990,1524,1753,1183
4717824,1588,1501,1998,1524,1752,1183
4757828,1589,1509,2005,1524,1752,1183
4797820,1590,1518,2013,1524,1751,1183
4837824,1591,1527,2021,1524,1749,1183
4877828,1592,1536,2029,1524,1748,1183
4917840,1593,1545,2036,1524,1746,1183
4957828,1594,1555,2044,1524,1744,1183
4997820,1595,1565,2052,1524,1742,1183
5037824,1596,1576,2060,1524,1740,1183
5077828,1597,1587,2068,1524,1737,1183
5117824,1598,1598,2076,1524,1733,1183
5157828,1599,1609,2084,1524,1730,1183
5197832,1600,1622,2092,1524,1725,1183
5237820,1601,1634,2100,1524,1721,1183
5277828,1602,1648,2108,1524,1715,1183
5317832,1603,1662,2116,1524,1709,1183
5357820,1605,1677,2124,1524,1703,1183
5397824,1606,1693,2133,1524,1695,1183
5437828,1607,1710,2141,1524,1687,1183
5477832,1608,1716,2147,1524,1687,1183
5927828,1608,1704,2150,1524,1702,1183
5967832,1608,1683,2150,1524,1722,1183
6007828,1609,1660,2149,1524,1744,1183
6047832,1609,1635,2147,1524,1768,1183
6087824,1609,1610,2146,1524,1791,1183
6127824,1609,1585,2143,1524,1814,1183
6167824,1609,1559,2141,1524,1838,1183
6207828,1609,1533,2138,1524,1861,1183
6247832,1609,1507,2135,1524,1884,1183
6287824,1609,1481,2132,1524,1906,1183
6329100,1609,1456,2129,1524,1928,1183
6367836,1609,1430,2125,1524,1950,1183
6407828,1609,1405,2121,1524,1971,1183
6447828,1609,1381,2117,1524,1992,1183
6487828,1609,1356,2113,1524,2012,1183
6527832,1609,1332,2108,1524,2031,1183
6567824,1609,1309,2104,1524,2050,1183
6607824,1609,1286,2099,1524,2068,1183
6647824,1609,1263,2094,1524,2086,1183
6687828,1609,1241,2089,1524,2103,1183
6727832,1609,1220,2084,1524,2119,1183
6767820,1609,1199,2078,1524,2135,1183
6807824,1609,1178,2073,1524,2150,1183
6847828,1609,1158,2067,1524,2165,1183
6887832,1608,1146,2062,1524,2171,1183
6967824,1607,1144,2056,1524,2168,1183
7047820,1606,1144,2051,1524,2162,1183
7127828,1605,1146,2045,1524,2154,1183
7207820,1604,1148,2039,1524,2147,1183
7287828,1603,1149,2033,1524,2139,1183
7367832,1601,1150,2027,1524,2132,1183
7447828,1600,1151,2021,1524,2125,1183
