t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
64,1472,1472,1379,1524,1163,1183
40064,1473,1473,1386,1524,1169,1183
80060,1474,1474,1393,1524,1175,1183
120056,1475,1475,1400,1524,1181,1183
160064,1476,1475,1407,1524,1187,1183
200060,1477,1476,1414,1524,1193,1183
240060,1478,1477,1421,1524,1200,1183
280056,1479,1477,1427,1524,1206,1183
320068,1480,1478,1434,1524,1212,1183
360056,1482,1478,1441,1524,1218,1183
400052,1483,1478,1447,1524,1224,1183
440064,1484,1478,1453,1524,1230,1183
480440,1485,1479,1460,1524,1237,1183
520052,1486,1479,1466,1524,1243,1183
560064,1487,1478,1472,1524,1249,1183
600064,1488,1478,1478,1524,1255,1183
642896,1489,1478,1484,1524,1261,1183
680060,1490,1478,1490,1524,1268,1183
720056,1491,1477,1496,1524,1274,1183
760056,1492,1477,1501,1524,1280,1183
800056,1493,1476,1507,1524,1286,1183
840056,1494,1476,1513,1524,1293,1183
880052,1496,1475,1518,1524,1299,1183
920052,1497,1474,1524,1524,1305,1183
961792,1498,1473,1529,1524,1312,1183
1000056,1499,1472,1534,1524,1318,1183
1040060,1500,1471,1540,1524,1324,1183
1080060,1501,1470,1545,1524,1331,1183
1120060,1502,1468,1550,1524,1337,1183
1160060,1503,1467,1555,1524,1344,1183
1200060,1504,1465,1560,1524,1350,1183
1240064,1505,1464,1565,1524,1356,1183
1280060,1507,1462,1570,1524,1363,1183
1320060,1508,1460,1574,1524,1369,1183
1360060,1509,1459,1579,1524,1376,1183
1400060,1510,1457,1584,1524,1382,1183
1440052,1511,1455,1588,1524,1389,1183
1480052,1512,1452,1593,1524,1396,1183
1520052,1513,1450,1597,1524,1402,1183
1560056,1514,1448,1601,1524,1409,1183
1600132,1515,1445,1605,1524,1415,1183
1640056,1517,1443,1610,1524,1422,1183
1680056,1518,1440,1614,1524,1429,1183
1720056,1519,1438,1618,1524,1435,1183
1760060,1520,1435,1621,1524,1442,1183
1800060,1521,1432,1625,1524,1449,1183
1840060,1522,1429,1629,1524,1456,1183
1880064,1523,1426,1633,1524,1462,1183
1921000,1524,1422,1636,1524,1469,1183
1960064,1525,1419,1640,1524,1476,1183
2000064,1527,1416,1643,1524,1483,1183
2040064,1528,1412,1646,1524,1490,1183
2080056,1529,1408,1650,1524,1497,1183
2120056,1530,1405,1653,1524,1504,1183
2160060,1531,1401,1656,1524,1510,1183
2200060,1532,1397,1659,1524,1517,1183
2240068,1533,1393,1662,1524,1524,1183
2280056,1535,1389,1665,1524,1531,1183
2320056,1536,1385,1667,1524,1538,1183
2360060,1537,1380,1670,1524,1545,1183
2400372,1538,1376,1673,1524,1552,1183
2440064,1539,1371,1675,1524,1559,1183
2480052,1540,1367,1677,1524,1566,1183
2520052,1541,1362,1680,1524,1573,1183
2560884,1543,1357,1682,1524,1580,1183
2600060,1544,1352,1684,1524,1587,1183
2640060,1545,1347,1686,1524,1595,1183
2680060,1546,1342,1688,1524,1602,1183
2722032,1547,1337,1690,1524,1609,1183
2760064,1548,1331,1692,1524,1616,1183
2800052,1549,1326,1693,1524,1623,1183
2840052,1551,1320,1695,1524,1630,1183
2880064,1552,1315,1696,1524,1637,1183
2920052,1553,1309,1698,1524,1644,1183
2960052,1554,1303,1699,1524,1651,1183
3000056,1555,1297,1700,1524,1658,1183
3040052,1556,1292,1701,1524,1665,1183
3080052,1558,1285,1702,1524,1672,1183
3120056,1559,1279,1703,1524,1679,1183
3160056,1560,1273,1704,1524,1686,1183
3200940,1561,1267,1705,1524,1693,1183
3237832,1563,1264,1707,1524,1698,1183
3277820,1565,1266,1712,1524,1701,1183
3317820,1567,1270,1718,1524,1704,1183
3357832,1570,1274,1724,1524,1706,1183
3397820,1572,1278,1730,1524,1708,1183
3437824,1574,1282,1736,1524,1709,1183
3477828,1577,1286,1742,1524,1711,1183
3520220,1580,1290,1748,1524,1713,1183
3557828,1582,1294,1754,1524,1715,1183
3597832,1585,1299,1760,1524,1716,1183
3637828,1587,1303,1765,1524,1718,1183
3677824,1590,1307,1771,1524,1720,1183
3717828,1593,1311,1777,1524,1721,1183
3757828,1595,1315,1783,1524,1723,1183
3797820,1598,1319,1788,1524,1724,1183
3837832,1601,1324,1794,1524,1726,1183
3877824,1604,1328,1800,1524,1727,1183
3917824,1606,1332,1805,1524,1729,1183
3957828,1609,1336,1811,1524,1730,1183
4000308,1612,1340,1816,1524,1732,1183
4037828,1615,1344,1822,1524,1733,1183
4077844,1618,1349,1827,1524,1734,1183
4117832,1621,1353,1833,1524,1735,1183
4162108,1624,1357,1838,1524,1737,1183
4197832,1627,1361,1843,1524,1738,1183
4237820,1630,1365,1849,1524,1739,1183
4277828,1633,1369,1854,1524,1740,1183
4318292,1636,1374,1859,1524,1741,1183
4357824,1639,1378,1864,1524,1742,1183
4397828,1642,1382,1869,1524,1743,1183
4437832,1645,1386,1875,1524,1744,1183
4477832,1648,1390,1880,1524,1745,1183
4517824,1652,1395,1885,1524,1746,1183
4557824,1655,1399,1890,1524,1746,1183
4597828,1658,1403,1895,1524,1747,1183
4637828,1661,1407,1900,1524,1748,1183
4677832,1665,1411,1904,1524,1749,1183
4717820,1668,1416,1909,1524,1749,1183
4757824,1671,1420,1914,1524,1750,1183
4797828,1675,1424,1919,1524,1750,1183
4837832,1678,1428,1924,1524,1751,1183
4877820,1682,1432,1928,1524,1751,1183
4917832,1685,1437,1933,1524,1752,1183
4961044,1689,1441,1938,1524,1752,1183
4997824,1692,1445,1942,1524,1752,1183
5037824,1696,1449,1947,1524,1753,1183
5077828,1699,1454,1951,1524,1753,1183
5117820,1703,1458,1956,1524,1753,1183
5157828,1707,1462,1960,1524,1753,1183
5197828,1710,1467,1964,1524,1753,1183
5237820,1714,1471,1969,1524,1753,1183
5277820,1718,1475,1973,1524,1753,1183
5317824,1721,1474,1976,1524,1757,1183
6171860,1722,1466,1978,1524,1767,1183
6211860,1723,1455,1978,1524,1778,1183
6251860,1723,1442,1977,1524,1790,1183
6291860,1723,1430,1977,1524,1803,1183
6331864,1723,1416,1976,1524,1815,1183
6371856,1723,1403,1975,1524,1827,1183
6411872,1723,1390,1973,1524,1839,1183
6451860,1723,1376,1972,1524,1851,1183
6491860,1723,1363,1970,1524,1863,1183
6531864,1723,1349,1969,1524,1875,1183
6571868,1723,1336,1967,1524,1886,1183
6611856,1723,1322,1965,1524,1898,1183
6651860,1723,1309,1963,1524,1909,1183
6691864,1723,1295,1960,1524,1921,1183
6731864,1723,1281,1958,1524,1932,1183
6771864,1723,1268,1955,1524,1943,1183
6811868,1723,1254,1952,1524,1954,1183
6851856,1723,1241,1950,1524,1964,1183
6894980,1723,1227,1947,1524,1975,1183
6931856,1723,1214,1943,1524,1985,1183
6971860,1723,1200,1940,1524,1995,1183
7011868,1723,1187,1937,1524,2005,1183
7051872,1723,1174,1933,1524,2015,1183
7091860,1723,1160,1930,1524,2025,1183
7131864,1722,1151,1925,1524,2029,1183
7211860,1721,1147,1919,1524,2027,1183
7291864,1719,1145,1913,1524,2023,1183
7371860,1718,1144,1907,1524,2019,1183
7451868,1716,1142,1900,1524,2014,1183
7531864,1714,1141,1894,1524,2009,1183
7611856,1712,1139,1887,1524,2004,1183
7691860,1711,1137,1881,1524,1999,1183
7771868,1709,1136,1874,1524,1994,1183
7851864,1707,1134,1868,1524,1989,1183
7931856,1706,1132,1861,1524,1985,1183
8011864,1704,1130,1854,1524,1980,1183
8091856,1702,1128,1848,1524,1975,1183
8171864,1701,1126,1841,1524,1970,1183
8251860,1699,1124,1834,1524,1966,1183
8331860,1698,1122,1827,1524,1961,1183
8411868,1696,1120,1820,1524,1956,1183
8491860,1695,1117,1813,1524,1952,1183
8571868,1693,1115,1807,1524,1947,1183
8651864,1692,1113,1800,1524,1942,1183
8731856,1690,1110,1793,1524,1938,1183
8811864,1689,1108,1785,1524,1933,1183
8891868,1688,1105,1778,1524,1929,1183
8971868,1686,1103,1771,1524,1924,1183
9051860,1685,1100,1764,1524,1920,1183
9131868,1683,1097,1757,1524,1915,1183
9211868,1682,1095,1750,1524,1911,1183
9291864,1681,1092,1742,1524,1906,1183
