t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
5038592,1721,1379,1869,1524,1746,1183
5586356,1722,1372,1870,1524,1754,1183
5626356,1723,1363,1870,1524,1763,1183
5666348,1723,1353,1869,1524,1772,1183
5706352,1723,1343,1869,1524,1781,1183
5746356,1723,1333,1868,1524,1791,1183
5786352,1723,1323,1867,1524,1800,1183
5826352,1723,1313,1866,1524,1809,1183
5866356,1723,1302,1865,1524,1818,1183
5906360,1723,1292,1864,1524,1828,1183
5947372,1723,1281,1863,1524,1837,1183
5986352,1723,1271,1861,1524,1846,1183
6026360,1723,1260,1859,1524,1855,1183
6066352,1723,1250,1858,1524,1863,1183
6106360,1723,1239,1856,1524,1872,1183
6146348,1723,1229,1854,1524,1881,1183
6186352,1723,1218,1852,1524,1889,1183
6226356,1723,1207,1850,1524,1898,1183
6266356,1723,1197,1847,1524,1906,1183
6306360,1723,1186,1845,1524,1914,1183
6346352,1723,1175,1842,1524,1923,1183
6386356,1723,1165,1840,1524,1931,1183
6427640,1723,1154,1837,1524,1938,1183
6466356,1723,1143,1834,1524,1946,1183
6506360,1723,1133,1831,1524,1954,1183
6546348,1722,1125,1827,1524,1957,1183
6626352,1721,1121,1821,1524,1956,1183
6706352,1720,1118,1814,1524,1952,1183
6786360,1718,1115,1808,1524,1948,1183
6866356,1716,1113,1801,1524,1943,1183
6946360,1715,1111,1794,1524,1939,1183
7026356,1713,1108,1787,1524,1934,1183
7106348,1712,1106,1780,1524,1930,1183
7186360,1710,1103,1773,1524,1925,1183
7266348,1709,1101,1766,1524,1921,1183
7346360,1707,1098,1759,1524,1916,1183
7426356,1706,1095,1752,1524,1912,1183
7506352,1704,1093,1745,1524,1908,1183
7586352,1703,1090,1737,1524,1903,1183
7666360,1701,1087,1730,1524,1899,1183
7746356,1700,1084,1723,1524,1894,1183
7826352,1698,1081,1716,1524,1890,1183
7906348,1697,1078,1708,1524,1885,1183
7986360,1696,1075,1701,1524,1881,1183
8066356,1694,1072,1694,1524,1877,1183
8146352,1693,1069,1686,1524,1872,1183
8226356,1692,1066,1679,1524,1868,1183
8306348,1690,1063,1671,1524,1863,1183
8386356,1689,1060,1664,1524,1859,1183
8466352,1688,1057,1656,1524,1855,1183
8546352,1687,1054,1648,1524,1850,1183
8626352,1685,1050,1641,1524,1846,1183
8706360,1684,1047,1633,1524,1841,1183
8786352,1683,1044,1625,1524,1837,1183
8866352,1682,1040,1617,1524,1833,1183
8946348,1680,1037,1610,1524,1828,1183
9026356,1679,1034,1602,1524,1824,1183
9106352,1678,1030,1594,1524,1819,1183
9186348,1677,1027,1586,1524,1815,1183
9266360,1676,1023,1578,1524,1810,1183
9346356,1675,1019,1570,1524,1806,1183
9426352,1674,1016,1561,1524,1801,1183
9506356,1672,1012,1553,1524,1797,1183
9586352,1671,1008,1545,1524,1792,1183
9666360,1670,1005,1537,1524,1788,1183
9746352,1669,1001,1528,1524,1783,1183
9826348,1668,997,1520,1524,1779,1183
9906360,1667,993,1512,1524,1774,1183
9986352,1666,989,1503,1524,1769,1183
10066356,1665,985,1494,1524,1765,1183
10146360,1664,981,1486,1524,1760,1183
10226352,1663,977,1477,1524,1756,1183
10306360,1662,973,1468,1524,1751,1183
10386352,1661,969,1460,1524,1746,1183
10466356,1660,965,1451,1524,1741,1183
10546356,1659,960,1442,1524,1737,1183
10626360,1658,956,1433,1524,1732,1183
10706352,1657,952,1424,1524,1727,1183
