t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
64,1472,1472,1379,1524,1163,1183
40064,1473,1473,1386,1524,1169,1183
80056,1474,1474,1393,1524,1175,1183
120052,1476,1475,1400,1524,1181,1183
163504,1477,1475,1407,1524,1187,1183
200064,1478,1476,1414,1524,1193,1183
240064,1479,1477,1420,1524,1199,1183
280060,1480,1477,1427,1524,1205,1183
322640,1481,1478,1433,1524,1211,1183
360060,1483,1478,1440,1524,1217,1183
400064,1484,1478,1446,1524,1223,1183
440060,1485,1478,1452,1524,1229,1183
480056,1486,1478,1459,1524,1236,1183
520056,1487,1478,1465,1524,1242,1183
560052,1489,1478,1471,1524,1248,1183
600052,1490,1478,1477,1524,1254,1183
640052,1491,1478,1483,1524,1260,1183
680064,1492,1478,1488,1524,1266,1183
720060,1493,1477,1494,1524,1272,1183
760060,1495,1477,1500,1524,1279,1183
800064,1496,1476,1505,1524,1285,1183
840060,1497,1475,1511,1524,1291,1183
880060,1498,1475,1516,1524,1297,1183
920056,1499,1474,1522,1524,1303,1183
960052,1501,1473,1527,1524,1310,1183
1000052,1502,1472,1532,1524,1316,1183
1040052,1503,1471,1538,1524,1322,1183
1080060,1504,1470,1543,1524,1329,1183
1120060,1505,1468,1548,1524,1335,1183
1160064,1507,1467,1553,1524,1341,1183
1200064,1508,1465,1558,1524,1348,1183
1240052,1509,1464,1562,1524,1354,1183
1283188,1510,1462,1567,1524,1360,1183
1320052,1512,1461,1572,1524,1367,1183
1360052,1513,1459,1576,1524,1373,1183
1400052,1514,1457,1581,1524,1380,1183
1440056,1515,1455,1585,1524,1386,1183
1480056,1516,1453,1590,1524,1393,1183
1520056,1518,1450,1594,1524,1399,1183
1560056,1519,1448,1598,1524,1406,1183
1600060,1520,1446,1602,1524,1412,1183
1640060,1521,1443,1606,1524,1419,1183
1680064,1523,1441,1610,1524,1425,1183
1720052,1524,1438,1614,1524,1432,1183
1763516,1525,1435,1618,1524,1438,1183
1800052,1526,1432,1622,1524,1445,1183
1840052,1528,1429,1626,1524,1452,1183
1880056,1529,1426,1629,1524,1458,1183
1920060,1530,1423,1633,1524,1465,1183
1960060,1531,1420,1636,1524,1472,1183
2000060,1533,1416,1639,1524,1479,1183
2040064,1534,1413,1643,1524,1485,1183
2080060,1535,1409,1646,1524,1492,1183
2120060,1536,1406,1649,1524,1499,1183
2160060,1538,1402,1652,1524,1506,1183
2200064,1539,1398,1655,1524,1512,1183
2242268,1540,1394,1658,1524,1519,1183
2280056,1541,1390,1661,1524,1526,1183
2320064,1543,1386,1663,1524,1533,1183
2360052,1544,1382,1666,1524,1540,1183
2400056,1545,1377,1668,1524,1547,1183
2440056,1546,1373,1671,1524,1554,1183
2480060,1548,1368,1673,1524,1561,1183
2520060,1549,1364,1675,1524,1567,1183
2561484,1550,1359,1678,1524,1574,1183
2600056,1552,1354,1680,1524,1581,1183
2640060,1553,1349,1682,1524,1588,1183
2680060,1554,1344,1684,1524,1595,1183
2720056,1555,1339,1685,1524,1602,1183
2760056,1557,1334,1687,1524,1609,1183
2800056,1558,1328,1689,1524,1616,1183
2840060,1559,1323,1690,1524,1623,1183
2881972,1560,1317,1692,1524,1630,1183
2920052,1562,1312,1693,1524,1637,1183
2960056,1563,1306,1694,1524,1644,1183
3000060,1564,1300,1696,1524,1651,1183
3040052,1566,1294,1697,1524,1658,1183
3080052,1567,1289,1698,1524,1664,1183
3120056,1568,1283,1698,1524,1671,1183
3160056,1569,1276,1699,1524,1678,1183
3200060,1571,1270,1700,1524,1685,1183
3240060,1572,1264,1701,1524,1692,1183
3278592,1574,1261,1702,1524,1697,1183
3318592,1576,1262,1706,1524,1699,1183
3361016,1579,1265,1711,1524,1701,1183
3398596,1582,1268,1715,1524,1703,1183
3438584,1585,1271,1720,1524,1705,1183
3478588,1588,1274,1725,1524,1706,1183
3518588,1591,1277,1729,1524,1707,1183
3558592,1594,1280,1734,1524,1709,1183
3598596,1597,1284,1738,1524,1710,1183
3638584,1600,1287,1743,1524,1711,1183
3678584,1604,1290,1747,1524,1713,1183
3718588,1607,1293,1751,1524,1714,1183
3758588,1610,1296,1756,1524,1715,1183
3798592,1613,1299,1760,1524,1717,1183
3841832,1616,1302,1764,1524,1718,1183
3878596,1620,1305,1768,1524,1719,1183
3918584,1623,1308,1773,1524,1720,1183
3958588,1626,1311,1777,1524,1721,1183
3998584,1629,1314,1781,1524,1722,1183
4038600,1633,1317,1785,1524,1723,1183
4078604,1636,1320,1789,1524,1725,1183
4118608,1639,1323,1793,1524,1726,1183
4158604,1642,1322,1795,1524,1729,1183
4702472,1643,1316,1796,1524,1736,1183
4742464,1643,1308,1796,1524,1744,1183
4782468,1643,1300,1796,1524,1752,1183
4822476,1643,1291,1795,1524,1760,1183
4862464,1643,1282,1795,1524,1768,1183
4902468,1643,1274,1794,1524,1776,1183
4942472,1643,1265,1793,1524,1784,1183
4983668,1643,1256,1792,1524,1792,1183
5022464,1643,1247,1791,1524,1800,1183
5062468,1643,1238,1790,1524,1808,1183
5102472,1643,1228,1788,1524,1815,1183
5142476,1643,1219,1787,1524,1823,1183
5182464,1643,1210,1785,1524,1831,1183
5222468,1643,1201,1784,1524,1838,1183
5262468,1643,1192,1782,1524,1846,1183
5305132,1643,1182,1780,1524,1853,1183
5342464,1643,1173,1778,1524,1861,1183
5382468,1643,1164,1776,1524,1868,1183
5422468,1643,1154,1774,1524,1875,1183
5462472,1643,1145,1772,1524,1882,1183
5502476,1643,1135,1769,1524,1889,1183
5542464,1643,1126,1767,1524,1896,1183
5582472,1643,1117,1764,1524,1903,1183
5622480,1643,1107,1761,1524,1910,1183
5662472,1643,1100,1757,1524,1913,1183
5742468,1642,1096,1751,1524,1910,1183
5822472,1641,1093,1744,1524,1907,1183
5902468,1640,1089,1736,1524,1902,1183
5982476,1639,1087,1729,1524,1898,1183
6062472,1638,1084,1721,1524,1893,1183
6142472,1637,1081,1714,1524,1889,1183
6222468,1636,1078,1706,1524,1884,1183
6302468,1635,1074,1699,1524,1880,1183
6382476,1634,1071,1691,1524,1875,1183
6462472,1633,1068,1683,1524,1870,1183
6542468,1632,1065,1675,1524,1866,1183
6622476,1631,1062,1668,1524,1861,1183
6702468,1630,1059,1660,1524,1857,1183
6782472,1629,1055,1652,1524,1852,1183
6862468,1628,1052,1644,1524,1848,1183
6942468,1627,1048,1636,1524,1843,1183
7022476,1626,1045,1628,1524,1839,1183
7102468,1625,1042,1620,1524,1834,1183
7182472,1624,1038,1612,1524,1829,1183
7262468,1623,1034,1604,1524,1825,1183
7342476,1623,1031,1596,1524,1820,1183
7422476,1622,1027,1587,1524,1816,1183
7502472,1621,1024,1579,1524,1811,1183
7582472,1620,1020,1571,1524,1806,1183
7662468,1619,1016,1563,1524,1802,1183
7742468,1618,1012,1554,1524,1797,1183
7822472,1618,1009,1546,1524,1793,1183
7902468,1617,1005,1537,1524,1788,1183
7982464,1616,1001,1529,1524,1783,1183
8062464,1615,997,1520,1524,1779,1183
8142468,1614,994,1514,1524,1775,1183
8742468,1611,994,1513,1524,1775,1183
8822476,1608,994,1514,1524,1775,1183
8902468,1605,995,1515,1524,1776,1183
8982472,1602,996,1517,1524,1777,1183
9062464,1599,996,1519,1524,1778,1183
9142468,1595,997,1521,1524,1779,1183
9222476,1592,998,1523,1524,1780,1183
9302468,1589,999,1525,1524,1781,1183
9382468,1586,1000,1526,1524,1782,1183
9462480,1583,1001,1528,1524,1783,1183
9542464,1579,1001,1530,1524,1784,1183
9622472,1576,1002,1531,1524,1785,1183
9702468,1573,1003,1533,1524,1786,1183
9782464,1570,1003,1534,1524,1786,1183
9862472,1567,1004,1536,1524,1787,1183
9942464,1563,1005,1537,1524,1788,1183
10022472,1560,1005,1538,1524,1789,1183
10102476,1557,1006,1540,1524,1789,1183
10182476,1554,1006,1541,1524,1790,1183
10262472,1550,1007,1542,1524,1791,1183
10342468,1547,1007,1543,1524,1791,1183
10422468,1544,1008,1544,1524,1792,1183
10502476,1541,1008,1545,1524,1792,1183
10582472,1537,1009,1546,1524,1793,1183
10662468,1534,1009,1547,1524,1793,1183
10742480,1531,1010,1548,1524,1794,1183
